d	xmin	ymin	zmin	xmax	ymax	zmax
7 	 -10.000000 	 0.000000 	 -10.000000 	 -5.000000 	 10.000000 	 0.000000 
9 	 -5.000000 	 0.000000 	 -10.000000 	 0.000000 	 5.000000 	 -5.000000 
10 	 -5.000000 	 0.000000 	 -5.000000 	 -2.500000 	 5.000000 	 0.000000 
12 	 -2.500000 	 0.000000 	 -5.000000 	 0.000000 	 2.500000 	 -2.500000 
13 	 -2.500000 	 0.000000 	 -2.500000 	 -1.250000 	 2.500000 	 0.000000 
15 	 -1.250000 	 0.000000 	 -2.500000 	 0.000000 	 1.250000 	 -1.250000 
16 	 -1.250000 	 0.000000 	 -1.250000 	 -0.625000 	 1.250000 	 0.000000 
18 	 -0.625000 	 0.000000 	 -1.250000 	 0.000000 	 0.625000 	 -0.625000 
19 	 -0.625000 	 0.000000 	 -0.625000 	 -0.312500 	 0.625000 	 0.000000 
21 	 -0.312500 	 0.000000 	 -0.625000 	 0.000000 	 0.312500 	 -0.312500 
24 	 -0.312500 	 0.000000 	 -0.312500 	 -0.156250 	 0.156250 	 -0.156250 
25 	 -0.312500 	 0.000000 	 -0.156250 	 -0.234375 	 0.156250 	 0.000000 
27 	 -0.234375 	 0.000000 	 -0.156250 	 -0.156250 	 0.078125 	 -0.078125 
28 	 -0.234375 	 0.000000 	 -0.078125 	 -0.195312 	 0.078125 	 0.000000 
29 	 -0.195312 	 0.000000 	 -0.078125 	 -0.156250 	 0.039062 	 0.000000 
29 	 -0.195312 	 0.039062 	 -0.078125 	 -0.156250 	 0.078125 	 0.000000 
26 	 -0.234375 	 0.078125 	 -0.156250 	 -0.156250 	 0.156250 	 0.000000 
23 	 -0.312500 	 0.156250 	 -0.312500 	 -0.156250 	 0.312500 	 0.000000 
24 	 -0.156250 	 0.000000 	 -0.312500 	 0.000000 	 0.156250 	 -0.156250 
27 	 -0.156250 	 0.000000 	 -0.156250 	 -0.078125 	 0.078125 	 -0.078125 
28 	 -0.156250 	 0.000000 	 -0.078125 	 -0.117188 	 0.078125 	 0.000000 
29 	 -0.117188 	 0.000000 	 -0.078125 	 -0.078125 	 0.039062 	 0.000000 
29 	 -0.117188 	 0.039062 	 -0.078125 	 -0.078125 	 0.078125 	 0.000000 
26 	 -0.156250 	 0.078125 	 -0.156250 	 -0.078125 	 0.156250 	 0.000000 
27 	 -0.078125 	 0.000000 	 -0.156250 	 0.000000 	 0.078125 	 -0.078125 
28 	 -0.078125 	 0.000000 	 -0.078125 	 -0.039062 	 0.078125 	 0.000000 
28 	 -0.039062 	 0.000000 	 -0.078125 	 0.000000 	 0.078125 	 0.000000 
27 	 -0.078125 	 0.078125 	 -0.156250 	 0.000000 	 0.156250 	 -0.078125 
28 	 -0.078125 	 0.078125 	 -0.078125 	 -0.039062 	 0.156250 	 0.000000 
30 	 -0.039062 	 0.078125 	 -0.078125 	 0.000000 	 0.117188 	 -0.039062 
30 	 -0.039062 	 0.078125 	 -0.039062 	 0.000000 	 0.117188 	 0.000000 
29 	 -0.039062 	 0.117188 	 -0.078125 	 0.000000 	 0.156250 	 0.000000 
24 	 -0.156250 	 0.156250 	 -0.312500 	 0.000000 	 0.312500 	 -0.156250 
25 	 -0.156250 	 0.156250 	 -0.156250 	 -0.078125 	 0.312500 	 0.000000 
27 	 -0.078125 	 0.156250 	 -0.156250 	 0.000000 	 0.234375 	 -0.078125 
28 	 -0.078125 	 0.156250 	 -0.078125 	 -0.039062 	 0.234375 	 0.000000 
28 	 -0.039062 	 0.156250 	 -0.078125 	 0.000000 	 0.234375 	 0.000000 
26 	 -0.078125 	 0.234375 	 -0.156250 	 0.000000 	 0.312500 	 0.000000 
20 	 -0.312500 	 0.312500 	 -0.625000 	 0.000000 	 0.625000 	 0.000000 
17 	 -0.625000 	 0.625000 	 -1.250000 	 0.000000 	 1.250000 	 0.000000 
14 	 -1.250000 	 1.250000 	 -2.500000 	 0.000000 	 2.500000 	 0.000000 
11 	 -2.500000 	 2.500000 	 -5.000000 	 0.000000 	 5.000000 	 0.000000 
8 	 -5.000000 	 5.000000 	 -10.000000 	 0.000000 	 10.000000 	 0.000000 
5 	 -10.000000 	 10.000000 	 -20.000000 	 0.000000 	 20.000000 	 0.000000 
4 	 -20.000000 	 0.000000 	 0.000000 	 -10.000000 	 20.000000 	 20.000000 
7 	 -10.000000 	 0.000000 	 0.000000 	 -5.000000 	 10.000000 	 10.000000 
10 	 -5.000000 	 0.000000 	 0.000000 	 -2.500000 	 5.000000 	 5.000000 
13 	 -2.500000 	 0.000000 	 0.000000 	 -1.250000 	 2.500000 	 2.500000 
16 	 -1.250000 	 0.000000 	 0.000000 	 -0.625000 	 1.250000 	 1.250000 
19 	 -0.625000 	 0.000000 	 0.000000 	 -0.312500 	 0.625000 	 0.625000 
25 	 -0.312500 	 0.000000 	 0.000000 	 -0.234375 	 0.156250 	 0.156250 
27 	 -0.234375 	 0.000000 	 0.000000 	 -0.156250 	 0.078125 	 0.078125 
27 	 -0.234375 	 0.000000 	 0.078125 	 -0.156250 	 0.078125 	 0.156250 
26 	 -0.234375 	 0.078125 	 0.000000 	 -0.156250 	 0.156250 	 0.156250 
24 	 -0.312500 	 0.000000 	 0.156250 	 -0.156250 	 0.156250 	 0.312500 
23 	 -0.312500 	 0.156250 	 0.000000 	 -0.156250 	 0.312500 	 0.312500 
25 	 -0.156250 	 0.000000 	 0.000000 	 -0.078125 	 0.156250 	 0.156250 
28 	 -0.078125 	 0.000000 	 0.000000 	 -0.039062 	 0.078125 	 0.078125 
28 	 -0.039062 	 0.000000 	 0.000000 	 0.000000 	 0.078125 	 0.078125 
28 	 -0.078125 	 0.000000 	 0.078125 	 -0.039062 	 0.078125 	 0.156250 
28 	 -0.039062 	 0.000000 	 0.078125 	 0.000000 	 0.078125 	 0.156250 
27 	 -0.078125 	 0.078125 	 0.000000 	 0.000000 	 0.156250 	 0.078125 
27 	 -0.078125 	 0.078125 	 0.078125 	 0.000000 	 0.156250 	 0.156250 
24 	 -0.156250 	 0.000000 	 0.156250 	 0.000000 	 0.156250 	 0.312500 
24 	 -0.156250 	 0.156250 	 0.000000 	 0.000000 	 0.312500 	 0.156250 
24 	 -0.156250 	 0.156250 	 0.156250 	 0.000000 	 0.312500 	 0.312500 
21 	 -0.312500 	 0.000000 	 0.312500 	 0.000000 	 0.312500 	 0.625000 
20 	 -0.312500 	 0.312500 	 0.000000 	 0.000000 	 0.625000 	 0.625000 
18 	 -0.625000 	 0.000000 	 0.625000 	 0.000000 	 0.625000 	 1.250000 
17 	 -0.625000 	 0.625000 	 0.000000 	 0.000000 	 1.250000 	 1.250000 
15 	 -1.250000 	 0.000000 	 1.250000 	 0.000000 	 1.250000 	 2.500000 
14 	 -1.250000 	 1.250000 	 0.000000 	 0.000000 	 2.500000 	 2.500000 
12 	 -2.500000 	 0.000000 	 2.500000 	 0.000000 	 2.500000 	 5.000000 
11 	 -2.500000 	 2.500000 	 0.000000 	 0.000000 	 5.000000 	 5.000000 
9 	 -5.000000 	 0.000000 	 5.000000 	 0.000000 	 5.000000 	 10.000000 
8 	 -5.000000 	 5.000000 	 0.000000 	 0.000000 	 10.000000 	 10.000000 
6 	 -10.000000 	 0.000000 	 10.000000 	 0.000000 	 10.000000 	 20.000000 
5 	 -10.000000 	 10.000000 	 0.000000 	 0.000000 	 20.000000 	 20.000000 
5 	 0.000000 	 -20.000000 	 -20.000000 	 10.000000 	 -10.000000 	 0.000000 
6 	 0.000000 	 -10.000000 	 -20.000000 	 10.000000 	 0.000000 	 -10.000000 
8 	 0.000000 	 -10.000000 	 -10.000000 	 5.000000 	 -5.000000 	 0.000000 
9 	 0.000000 	 -5.000000 	 -10.000000 	 5.000000 	 0.000000 	 -5.000000 
11 	 0.000000 	 -5.000000 	 -5.000000 	 2.500000 	 -2.500000 	 0.000000 
12 	 0.000000 	 -2.500000 	 -5.000000 	 2.500000 	 0.000000 	 -2.500000 
14 	 0.000000 	 -2.500000 	 -2.500000 	 1.250000 	 -1.250000 	 0.000000 
15 	 0.000000 	 -1.250000 	 -2.500000 	 1.250000 	 0.000000 	 -1.250000 
17 	 0.000000 	 -1.250000 	 -1.250000 	 0.625000 	 -0.625000 	 0.000000 
18 	 0.000000 	 -0.625000 	 -1.250000 	 0.625000 	 0.000000 	 -0.625000 
20 	 0.000000 	 -0.625000 	 -0.625000 	 0.312500 	 -0.312500 	 0.000000 
21 	 0.000000 	 -0.312500 	 -0.625000 	 0.312500 	 0.000000 	 -0.312500 
23 	 0.000000 	 -0.312500 	 -0.312500 	 0.156250 	 -0.156250 	 0.000000 
24 	 0.000000 	 -0.156250 	 -0.312500 	 0.156250 	 0.000000 	 -0.156250 
26 	 0.000000 	 -0.156250 	 -0.156250 	 0.078125 	 -0.078125 	 0.000000 
27 	 0.000000 	 -0.078125 	 -0.156250 	 0.078125 	 0.000000 	 -0.078125 
29 	 0.000000 	 -0.078125 	 -0.078125 	 0.039062 	 -0.039062 	 0.000000 
29 	 0.000000 	 -0.039062 	 -0.078125 	 0.039062 	 0.000000 	 0.000000 
28 	 0.039062 	 -0.078125 	 -0.078125 	 0.078125 	 0.000000 	 0.000000 
26 	 0.078125 	 -0.156250 	 -0.156250 	 0.156250 	 -0.078125 	 0.000000 
27 	 0.078125 	 -0.078125 	 -0.156250 	 0.156250 	 0.000000 	 -0.078125 
29 	 0.078125 	 -0.078125 	 -0.078125 	 0.117188 	 -0.039062 	 0.000000 
29 	 0.078125 	 -0.039062 	 -0.078125 	 0.117188 	 0.000000 	 0.000000 
28 	 0.117188 	 -0.078125 	 -0.078125 	 0.156250 	 0.000000 	 0.000000 
22 	 0.156250 	 -0.312500 	 -0.312500 	 0.312500 	 0.000000 	 0.000000 
19 	 0.312500 	 -0.625000 	 -0.625000 	 0.625000 	 0.000000 	 0.000000 
16 	 0.625000 	 -1.250000 	 -1.250000 	 1.250000 	 0.000000 	 0.000000 
13 	 1.250000 	 -2.500000 	 -2.500000 	 2.500000 	 0.000000 	 0.000000 
10 	 2.500000 	 -5.000000 	 -5.000000 	 5.000000 	 0.000000 	 0.000000 
7 	 5.000000 	 -10.000000 	 -10.000000 	 10.000000 	 0.000000 	 0.000000 
4 	 10.000000 	 -20.000000 	 -20.000000 	 20.000000 	 0.000000 	 0.000000 
5 	 0.000000 	 -20.000000 	 0.000000 	 10.000000 	 -10.000000 	 20.000000 
8 	 0.000000 	 -10.000000 	 0.000000 	 5.000000 	 -5.000000 	 10.000000 
11 	 0.000000 	 -5.000000 	 0.000000 	 2.500000 	 -2.500000 	 5.000000 
14 	 0.000000 	 -2.500000 	 0.000000 	 1.250000 	 -1.250000 	 2.500000 
17 	 0.000000 	 -1.250000 	 0.000000 	 0.625000 	 -0.625000 	 1.250000 
20 	 0.000000 	 -0.625000 	 0.000000 	 0.312500 	 -0.312500 	 0.625000 
26 	 0.000000 	 -0.312500 	 0.000000 	 0.078125 	 -0.234375 	 0.156250 
27 	 0.000000 	 -0.234375 	 0.000000 	 0.078125 	 -0.156250 	 0.078125 
27 	 0.000000 	 -0.234375 	 0.078125 	 0.078125 	 -0.156250 	 0.156250 
25 	 0.078125 	 -0.312500 	 0.000000 	 0.156250 	 -0.156250 	 0.156250 
24 	 0.000000 	 -0.312500 	 0.156250 	 0.156250 	 -0.156250 	 0.312500 
26 	 0.000000 	 -0.156250 	 0.000000 	 0.078125 	 -0.078125 	 0.156250 
28 	 0.000000 	 -0.078125 	 0.000000 	 0.039062 	 0.000000 	 0.078125 
28 	 0.039062 	 -0.078125 	 0.000000 	 0.078125 	 0.000000 	 0.078125 
29 	 0.000000 	 -0.078125 	 0.078125 	 0.039062 	 -0.039062 	 0.156250 
29 	 0.000000 	 -0.039062 	 0.078125 	 0.039062 	 0.000000 	 0.156250 
28 	 0.039062 	 -0.078125 	 0.078125 	 0.078125 	 0.000000 	 0.156250 
26 	 0.078125 	 -0.156250 	 0.000000 	 0.156250 	 -0.078125 	 0.156250 
29 	 0.078125 	 -0.078125 	 0.000000 	 0.117188 	 -0.039062 	 0.078125 
30 	 0.078125 	 -0.039062 	 0.000000 	 0.117188 	 0.000000 	 0.039062 
30 	 0.078125 	 -0.039062 	 0.039062 	 0.117188 	 0.000000 	 0.078125 
28 	 0.117188 	 -0.078125 	 0.000000 	 0.156250 	 0.000000 	 0.078125 
27 	 0.078125 	 -0.078125 	 0.078125 	 0.156250 	 0.000000 	 0.156250 
26 	 0.000000 	 -0.156250 	 0.156250 	 0.078125 	 -0.078125 	 0.312500 
26 	 0.000000 	 -0.078125 	 0.156250 	 0.078125 	 0.000000 	 0.312500 
25 	 0.078125 	 -0.156250 	 0.156250 	 0.156250 	 0.000000 	 0.312500 
23 	 0.156250 	 -0.312500 	 0.000000 	 0.312500 	 -0.156250 	 0.312500 
26 	 0.156250 	 -0.156250 	 0.000000 	 0.234375 	 -0.078125 	 0.156250 
29 	 0.156250 	 -0.078125 	 0.000000 	 0.195312 	 -0.039062 	 0.078125 
30 	 0.156250 	 -0.039062 	 0.000000 	 0.195312 	 0.000000 	 0.039062 
30 	 0.156250 	 -0.039062 	 0.039062 	 0.195312 	 0.000000 	 0.078125 
28 	 0.195312 	 -0.078125 	 0.000000 	 0.234375 	 0.000000 	 0.078125 
27 	 0.156250 	 -0.078125 	 0.078125 	 0.234375 	 0.000000 	 0.156250 
25 	 0.234375 	 -0.156250 	 0.000000 	 0.312500 	 0.000000 	 0.156250 
24 	 0.156250 	 -0.156250 	 0.156250 	 0.312500 	 0.000000 	 0.312500 
21 	 0.000000 	 -0.312500 	 0.312500 	 0.312500 	 0.000000 	 0.625000 
19 	 0.312500 	 -0.625000 	 0.000000 	 0.625000 	 0.000000 	 0.625000 
18 	 0.000000 	 -0.625000 	 0.625000 	 0.625000 	 0.000000 	 1.250000 
16 	 0.625000 	 -1.250000 	 0.000000 	 1.250000 	 0.000000 	 1.250000 
15 	 0.000000 	 -1.250000 	 1.250000 	 1.250000 	 0.000000 	 2.500000 
13 	 1.250000 	 -2.500000 	 0.000000 	 2.500000 	 0.000000 	 2.500000 
12 	 0.000000 	 -2.500000 	 2.500000 	 2.500000 	 0.000000 	 5.000000 
10 	 2.500000 	 -5.000000 	 0.000000 	 5.000000 	 0.000000 	 5.000000 
9 	 0.000000 	 -5.000000 	 5.000000 	 5.000000 	 0.000000 	 10.000000 
7 	 5.000000 	 -10.000000 	 0.000000 	 10.000000 	 0.000000 	 10.000000 
6 	 0.000000 	 -10.000000 	 10.000000 	 10.000000 	 0.000000 	 20.000000 
4 	 10.000000 	 -20.000000 	 0.000000 	 20.000000 	 0.000000 	 20.000000 
6 	 0.000000 	 0.000000 	 -20.000000 	 10.000000 	 10.000000 	 -10.000000 
9 	 0.000000 	 0.000000 	 -10.000000 	 5.000000 	 5.000000 	 -5.000000 
12 	 0.000000 	 0.000000 	 -5.000000 	 2.500000 	 2.500000 	 -2.500000 
15 	 0.000000 	 0.000000 	 -2.500000 	 1.250000 	 1.250000 	 -1.250000 
18 	 0.000000 	 0.000000 	 -1.250000 	 0.625000 	 0.625000 	 -0.625000 
21 	 0.000000 	 0.000000 	 -0.625000 	 0.312500 	 0.312500 	 -0.312500 
24 	 0.000000 	 0.000000 	 -0.312500 	 0.156250 	 0.156250 	 -0.156250 
27 	 0.000000 	 0.000000 	 -0.156250 	 0.078125 	 0.078125 	 -0.078125 
29 	 0.000000 	 0.000000 	 -0.078125 	 0.039062 	 0.039062 	 0.000000 
29 	 0.000000 	 0.039062 	 -0.078125 	 0.039062 	 0.078125 	 0.000000 
28 	 0.039062 	 0.000000 	 -0.078125 	 0.078125 	 0.078125 	 0.000000 
26 	 0.000000 	 0.078125 	 -0.156250 	 0.078125 	 0.156250 	 0.000000 
27 	 0.078125 	 0.000000 	 -0.156250 	 0.156250 	 0.078125 	 -0.078125 
29 	 0.078125 	 0.000000 	 -0.078125 	 0.117188 	 0.039062 	 0.000000 
29 	 0.078125 	 0.039062 	 -0.078125 	 0.117188 	 0.078125 	 0.000000 
28 	 0.117188 	 0.000000 	 -0.078125 	 0.156250 	 0.078125 	 0.000000 
26 	 0.078125 	 0.078125 	 -0.156250 	 0.156250 	 0.156250 	 0.000000 
23 	 0.000000 	 0.156250 	 -0.312500 	 0.156250 	 0.312500 	 0.000000 
22 	 0.156250 	 0.000000 	 -0.312500 	 0.312500 	 0.312500 	 0.000000 
20 	 0.000000 	 0.312500 	 -0.625000 	 0.312500 	 0.625000 	 0.000000 
19 	 0.312500 	 0.000000 	 -0.625000 	 0.625000 	 0.625000 	 0.000000 
17 	 0.000000 	 0.625000 	 -1.250000 	 0.625000 	 1.250000 	 0.000000 
16 	 0.625000 	 0.000000 	 -1.250000 	 1.250000 	 1.250000 	 0.000000 
14 	 0.000000 	 1.250000 	 -2.500000 	 1.250000 	 2.500000 	 0.000000 
13 	 1.250000 	 0.000000 	 -2.500000 	 2.500000 	 2.500000 	 0.000000 
11 	 0.000000 	 2.500000 	 -5.000000 	 2.500000 	 5.000000 	 0.000000 
10 	 2.500000 	 0.000000 	 -5.000000 	 5.000000 	 5.000000 	 0.000000 
8 	 0.000000 	 5.000000 	 -10.000000 	 5.000000 	 10.000000 	 0.000000 
7 	 5.000000 	 0.000000 	 -10.000000 	 10.000000 	 10.000000 	 0.000000 
5 	 0.000000 	 10.000000 	 -20.000000 	 10.000000 	 20.000000 	 0.000000 
4 	 10.000000 	 0.000000 	 -20.000000 	 20.000000 	 20.000000 	 0.000000 
27 	 0.000000 	 0.000000 	 0.000000 	 0.078125 	 0.078125 	 0.078125 
27 	 0.000000 	 0.000000 	 0.078125 	 0.078125 	 0.078125 	 0.156250 
26 	 0.000000 	 0.078125 	 0.000000 	 0.078125 	 0.156250 	 0.156250 
25 	 0.078125 	 0.000000 	 0.000000 	 0.156250 	 0.156250 	 0.156250 
24 	 0.000000 	 0.000000 	 0.156250 	 0.156250 	 0.156250 	 0.312500 
23 	 0.000000 	 0.156250 	 0.000000 	 0.156250 	 0.312500 	 0.312500 
22 	 0.156250 	 0.000000 	 0.000000 	 0.312500 	 0.312500 	 0.312500 
21 	 0.000000 	 0.000000 	 0.312500 	 0.312500 	 0.312500 	 0.625000 
20 	 0.000000 	 0.312500 	 0.000000 	 0.312500 	 0.625000 	 0.625000 
19 	 0.312500 	 0.000000 	 0.000000 	 0.625000 	 0.625000 	 0.625000 
18 	 0.000000 	 0.000000 	 0.625000 	 0.625000 	 0.625000 	 1.250000 
17 	 0.000000 	 0.625000 	 0.000000 	 0.625000 	 1.250000 	 1.250000 
16 	 0.625000 	 0.000000 	 0.000000 	 1.250000 	 1.250000 	 1.250000 
15 	 0.000000 	 0.000000 	 1.250000 	 1.250000 	 1.250000 	 2.500000 
14 	 0.000000 	 1.250000 	 0.000000 	 1.250000 	 2.500000 	 2.500000 
13 	 1.250000 	 0.000000 	 0.000000 	 2.500000 	 2.500000 	 2.500000 
12 	 0.000000 	 0.000000 	 2.500000 	 2.500000 	 2.500000 	 5.000000 
11 	 0.000000 	 2.500000 	 0.000000 	 2.500000 	 5.000000 	 5.000000 
10 	 2.500000 	 0.000000 	 0.000000 	 5.000000 	 5.000000 	 5.000000 
9 	 0.000000 	 0.000000 	 5.000000 	 5.000000 	 5.000000 	 10.000000 
8 	 0.000000 	 5.000000 	 0.000000 	 5.000000 	 10.000000 	 10.000000 
7 	 5.000000 	 0.000000 	 0.000000 	 10.000000 	 10.000000 	 10.000000 
6 	 0.000000 	 0.000000 	 10.000000 	 10.000000 	 10.000000 	 20.000000 
5 	 0.000000 	 10.000000 	 0.000000 	 10.000000 	 20.000000 	 20.000000 
4 	 10.000000 	 0.000000 	 0.000000 	 20.000000 	 20.000000 	 20.000000 
